Characteristic,16-24 years old,25-34 years old,35-44 years old,45-54 years old,55-64 years old,65 years and older
Shooter,63%,59.1%,52.9%,41.5%,30.7%,6.5%
Action adventure,57.9%,54.4%,49.8%,40.3%,29.4%,7.7%
MOBA,40.6%,40.8%,35.3%,25%,18.9%,N/A
Sports,40.4%,41.6%,37.9%,30.1%,22.8%,6.9%
Simulation,38.9%,36.7%,31.9%,27%,22.5%,6.7%
Battle royale,38.2%,N/A,N/A,N/A,N/A,N/A
Racing,36.3%,38.4%,35.7%,28.8%,21.6%,4.4%
Strategy,34.3%,35.1%,33.2%,25.8%,20%,4.4%
Puzzle platform,32.9%,34.7%,35.2%,32.3%,29%,20.1%
Fighting,31.7%,32.6%,30.4%,22.6%,N/A,N/A
Action platform,N/A,N/A,31.5%,24.5%,17.3%,5.7%
Online board games,N/A,N/A,N/A,N/A,19.2%,11.7%
Action RPG,N/A,N/A,33.2%,N/A,N/A,N/A
